,Year,Population,Population Swiss,Population Foreigners,Unemployment,Unemployment Rate,Refugees Total,Residents Permit B Total,Residents Permit B employed,Residents Permit B unempl,Settled Total
0,2010,478907,374368,104539,7468,2.7785839193362354,1666,490,82,408,1176
1,2011,483156,376226,106930,6334,2.356661829817316,1793,560,100,460,1233
2,2012,487060,377489,109571,7048,2.622316478773673,1849,558,84,474,1291
3,2013,491699,379074,112625,6885,2.5616698292220113,1945,520,69,451,1425
4,2014,495824,380500,115324,6377,2.301068275657001,2264,845,144,701,1419
5,2015,499065,381712,117353,7286,2.6290706376724025,2610,1194,191,1003,1416
6,2016,502552,382829,119723,7319,2.640979749722154,2857,1472,271,1201,1385
7,2017,504686,383755,120931,6635,2.370836742788333,3181,1834,375,1459,1347
8,2018,507697,385295,122402,5707,2.0392411893131897,3493,2143,495,1648,1350
9,2019,510734,385916,124818,5603,2.0020796186651135,3782,2465,633,1832,1317
10,2020,514504,387398,127106,7914,2.827852597200733,4038,2727,692,2035,1311
