,Year,Employment,Emplyoment Swiss,Employment Foreigners,Unemployment,Unemployment Rate,Refugees Total,Residents Permit B Total,Residents Permit B employed,Residents Permit B unempl,Settled Total
0,2010,38608,30731,7877,478,2.1521837010355696,104,51,10,41,53
1,2011,39217,30842,8375,516,2.3232778027915355,120,66,15,51,54
2,2012,39369,30795,8574,613,2.7600180099054477,123,61,16,45,62
3,2013,39593,30795,8798,598,2.6924808644754616,137,62,8,54,75
4,2014,39794,30798,8996,530,2.3521835933240363,198,119,14,105,79
5,2015,40028,30721,9307,567,2.5163926366315637,236,161,44,117,75
6,2016,40147,30650,9497,569,2.5252973548730693,260,190,58,132,70
7,2017,40349,30636,9713,450,1.969796454366382,282,214,66,148,68
8,2018,40403,30671,9732,380,1.6633836725760562,286,217,90,127,69
9,2019,40590,30765,9825,341,1.4926679798643028,305,237,96,141,68
10,2020,40851,30753,10098,539,2.359378419785511,346,276,100,176,70
