,Year,Population,Population Swiss,Population Foreigners,Unemployment,Unemployment Rate,Total Refugees,Residents Permit B Total,Residents Permit B employed,Residents Permit B unempl,Settled Total
0,2010,377610,314720,62890,4630,2.1723117056165755,1487,414,74,340,1073
1,2011,381966,317823,64143,4338,2.0353106218066315,1559,537,129,408,1022
2,2012,386082,320628,65454,4480,2.1019344365361246,1622,561,118,443,1061
3,2013,390349,323029,67320,4522,2.121640071878651,1773,489,65,424,1284
4,2014,394604,325336,69268,4496,2.0149192165147225,2036,761,163,598,1275
5,2015,398762,327503,71259,4890,2.1914935428729967,2350,1084,211,873,1266
6,2016,403397,329264,74133,4883,2.1883613059358686,2622,1374,295,1079,1248
7,2017,406506,331512,74994,4521,1.9464165012722099,2821,1629,379,1250,1192
8,2018,409557,333672,75885,4043,1.7406241793062474,3035,1888,529,1359,1147
9,2019,413120,335508,77612,4031,1.7354578448635873,3412,2252,692,1560,1160
10,2020,416347,337132,79215,5880,2.5315038769034715,3741,2593,783,1810,1148
