,Year,Employment,Emplyoment Swiss,Employment Foreigners,Unemployment,Unemployment Rate,Refugees Total,Residents Permit B Total,Residents Permit B employed,Residents Permit B unempl,Settled Total
0,2010,35585,30821,4764,203,203,101,36,3,33,65
1,2011,35885,30969,4916,217,217,105,45,3,42,60
2,2012,36115,31131,4984,216,216,119,54,5,49,65
3,2013,36507,31414,5093,254,254,123,51,1,50,72
4,2014,36834,31609,5225,218,218,151,82,13,69,69
5,2015,37076,31716,5360,237,237,177,115,17,98,62
6,2016,37378,31892,5486,222,222,195,135,31,104,60
7,2017,37575,32056,5519,208,208,214,155,40,115,59
8,2018,37841,32296,5545,160,160,216,162,43,119,54
9,2019,37930,32361,5569,172,172,223,167,45,122,56
10,2020,38108,32475,5633,306,306,237,177,47,130,60
