,Year,Population,Population Swiss,Population Foreigners,Unemployment,Unemployment Rate,Total Refugees,Residents Permit B Total,Residents Permit B employed,Residents Permit B unempl,Settled Total
0,2010,146730,119389,27341,1561,1.8671132109323605,474,167,37,130,307
1,2011,147904,120013,27891,1253,1.498714191734944,538,226,36,190,312
2,2012,149830,120856,28974,1338,1.6003827522277376,536,229,41,188,307
3,2013,151396,121710,29686,1453,1.737934334070929,538,149,12,137,389
4,2014,152759,122299,30460,1436,1.6380017320391607,626,232,41,191,394
5,2015,154093,122921,31172,1627,1.855869650437127,698,338,57,281,360
6,2016,155863,123597,32266,1683,1.9197426655107905,776,425,79,346,351
7,2017,157301,124130,33171,1667,1.851111555289049,897,565,111,454,332
8,2018,159165,124828,34337,1173,1.3025518022519822,1009,694,159,535,315
9,2019,160480,125367,35113,1068,1.1859550936105003,1112,814,202,612,298
10,2020,162157,126227,35930,1494,1.6590045972416552,1193,909,234,675,284
