,Year,Population Total,Total Pop Swiss,Total Pop Foreigners,Total Empl,Total Sec.1,Total Sec.2,Total Sec.3,Total Empl Swiss,Total Swiss Sec.1,Total Swiss Sec.2,Total Swiss Sec.3,Total Empl Foreigners,Total Foreign Sec. 1,Total Foreign Sec.2,Total Foreign Sec.3,Empl settled,Empl resident,Empl border,Empl shortterm,Empl other,Unemployment,Unemployment Rate,Refugees Total,Residents Permit B Total,Residents Permit B employed,Residents Permit B unempl,Settled Total
0,2010,7870134,6103857,1766277,4481711.7499798,155517.2499998,1006639.9999975,3319554.4999825,3267246.49997675,137806.95041175,645392.084515,2484047.46505,1214465.2500030498,17710.29958805,361247.9154825,835507.0349325,589139.0,331092.25,231345.3625,45057.4343939967,17831.2482723709,148636,3.438340798616854,25342,7518,1003,6515,17824
1,2011,7954662,6138668,1815994,4597581.499984819,160529.750000075,1030935.2500022501,3406116.4999825,3308125.2499852497,141230.39817275,647626.5866125,2519268.2652,1289456.24999957,19299.351827325,383308.66338975,886848.2347825,601616.5,370023.0,247891.1875,47964.16147067869,21961.6229124037,130662,3.0225550030199644,27106,9445,1257,8188,17661
2,2012,8039060,6169091,1869969,4679467.75043252,162136.750000025,1038016.7503775001,3479314.2500549997,3329365.0002705,142392.0751255,647902.249345,2539070.6758000003,1350102.7501620199,19744.674874525,390114.5010325,940243.574255,621192.75,389462.25,266081.1625,48249.6726340771,25116.8798607181,142309,3.291980682407801,28122,9682,1343,8339,18440
3,2013,8139631,6202184,1937447,4736049.7500106,164308.75000085,1031585.0000472501,3540155.9999625003,3341910.24999225,142725.34871475,639438.9653525,2559745.9359250003,1394139.5000183498,21583.401286099997,392146.03469475004,980410.0640375,657166.75,379290.75,278741.91250000003,52266.7508653957,26673.6002886803,149437,3.4568700309676443,29825,8529,855,7674,21296
4,2014,8237666,6239207,1998459,4825249.74999482,169930.750000075,1045066.2499997499,3610252.749995,3373260.2499965,146897.4151215,643688.142675,2582674.6922000004,1451989.4999983201,23033.334878575002,401378.10732475,1027578.0577949999,683753.25,397804.25,291069.98750000005,52464.912696285704,26897.063192502,147369,3.2797872207389362,34724,13138,1702,11436,21586
5,2015,8327126,6278459,2048667,4899155.5002838,165898.25000005,1051596.7502712498,3681660.5000125,3404359.250185,144462.1315775,646181.9979075,2613715.1207000003,1494796.2500988,21436.11842255,405414.75236374995,1067945.3793125001,699314.75,419901.75,300410.4375,49100.795879582496,26068.1501370039,158629,3.530385406962093,40277,19238,2750,16488,21039
6,2016,8419550,6318404,2101146,4967268.7499653,164483.00000005,1044991.0000002501,3757794.749965,3441665.9999665,143189.9600115,644531.1611050001,2653944.87885,1525602.7499988,21293.03998855,400459.83889525,1103849.871115,711894.5,432007.0,308518.76249999995,46430.1049137391,26752.2779418238,159372,3.546921169959644,45804,25140,4005,21135,20664
7,2017,8484130,6357738,2126392,5012549.5000702,155260.749999725,1045442.7500505,3811846.0000199997,3453786.25004975,134162.59538225,636757.4329174999,2682866.22175,1558763.25002047,21098.154617475,408685.317133,1128979.77827,727043.25,437594.75,316924.86250000005,46958.766284417004,30241.829070039,146654,3.1633053644226825,51512,31276,5457,25819,20236
8,2018,8544527,6396252,2148275,5064547.749999151,152437.25000015,1051009.749999,3861100.75,3469879.7500007497,129831.05392824998,640644.1737975,2699404.522275,1594667.9999984,22606.1960719,410365.5762015,1161696.227725,749220.75,440632.5,323915.46249999997,47322.902325185096,33576.3208819532,119661,2.581070296154095,57380,37721,7457,30264,19659
9,2019,8606033,6430658,2175375,5100638.75070568,132686.499999925,1057724.00063575,3910228.2500699996,3474742.000438,112833.1553555,641183.4210075,2720725.424075,1625896.75026767,19853.344644425,416540.57962825,1189502.825995,759714.25,451297.25,332293.1125,45680.3594845212,36912.394028340896,117277,2.529647764284636,62420,43379,9753,33626,19041
10,2020,8670300,6459512,2210788,5077115.25006572,132330.249999975,1050323.50004075,3894461.500025,3439775.750049,113089.3608865,628680.0217375001,2698006.367425,1637339.50001673,19240.889113475,421643.47830325,1196455.1326000001,773349.5,448628.5,340577.52499999997,38367.3883427612,36416.3643706176,163545,3.5276417678652314,67175,48435,11213,37222,18740
