,Year,Population,Population Swiss,Population Foreigners,Unemployment,Unemployment Rate,Total Refugees,Residents Permit B Total,Residents Permit B employed,Residents Permit B unempl,Settled Total
0,2010,713281,492352,220929,18718,5.006593253750665,2250,519,39,480,1731
1,2011,725944,496720,229224,17697,4.733501485822498,2345,620,51,569,1725
2,2012,734356,498089,236267,19065,5.099407008374636,2391,658,60,598,1733
3,2013,749373,503493,245880,19869,5.314456745313173,2496,517,27,490,1979
4,2014,761446,509124,252322,19138,4.8216809090727795,2967,1020,96,924,1947
5,2015,773407,513739,259668,19498,4.912380309598759,3620,1705,158,1547,1915
6,2016,784822,520957,263865,19703,4.964022614356691,4334,2465,235,2230,1869
7,2017,793129,527117,266012,17620,4.238490885560746,5048,3252,316,2936,1796
8,2018,799145,533878,265267,15661,3.7672534482841566,5733,4019,475,3544,1714
9,2019,805098,539414,265684,15053,3.6209990522330253,6215,4553,634,3919,1662
10,2020,814762,544045,270717,20181,4.854539418927436,6619,4966,738,4228,1653
