Descriptive Statistics:
--------------------------------------------------------------------------------
    na  null  unique  obs
7   20    20       2   21
8    0     0      21   21
9    0     0      21   21
10   0     0       5   21
11   0     0      21   21
12   0     0      21   21
13   0     0      21   21
14  20    20       2   21
15   0     0      21   21
16   0     0      21   21
17   0     0      21   21
18  20    20       2   21
19   0     0      13   21
20   0     0      13   21
21  20    20       2   21
22   0     0      21   21
23   0     0      21   21
24   0     0       5   21
25   0     0      21   21
26   0     0      21   21
27   0     0      21   21
28   0     0      21   21
29   0     0      21   21
30   0     0      21   21
31  20    20       2   21
32   0     0      13   21
33   0     0      13   21
34  20    20       2   21
35   0     0      21   21
36   0     0      21   21
37   0     0       5   21
38   0     0      21   21
39   0     0      21   21
40   0     0      21   21
--------------------------------------------------------------------------------



